District,Mandal,Year,Month,total_rain_mm,rain_days,max_daily_rain,avg_min_humidity,avg_max_humidity,max_dry_streak,normal_rain_mm,rain_deviation_pct,drought_risk_score,drought_risk_level,prev_month_rain,prev_month_risk_score,target_encoded
Adilabad,19,2025,1,0.0,0,0.0,53.6,78.9,1,0.0,0.0,7.3,NORMAL,0.0,0.0,2
Adilabad,19,2025,2,0.0,0,0.0,46.9,74.5,2,0.0,0.0,9.6,NORMAL,0.0,7.3,2
Adilabad,19,2025,3,0.0,0,0.0,49.2,71.9,3,0.0,0.0,11.4,NORMAL,0.0,9.6,2
Adilabad,19,2025,4,0.0,0,0.0,41.7,72.6,4,0.0,0.0,12.2,NORMAL,0.0,11.4,2
Adilabad,19,2025,5,0.8,1,0.8,73.78,92.64,4,0.8,0.0,6.2,NORMAL,0.0,12.2,2
Adilabad,19,2025,6,58.3,12,19.0,67.8,94.77368421052631,2,58.3,0.0,3.6,NORMAL,0.8,6.2,2
Adilabad,19,2025,7,162.6,24,31.5,79.8,95.38620689655171,3,162.6,0.0,4.4,NORMAL,58.3,3.6,2
Adilabad,19,2025,8,379.6,16,87.8,79.25806451612904,94.37096774193549,5,379.6,0.0,6.7,NORMAL,162.6,4.4,2
Adilabad,19,2025,9,307.9,19,48.5,78.72666666666667,95.46666666666667,5,307.9,0.0,6.4,NORMAL,379.6,6.7,2
Adilabad,19,2025,10,163.1,12,37.8,63.69032258064516,89.7258064516129,7,163.1,0.0,10.1,NORMAL,307.9,6.4,2
Adilabad,19,2025,11,13.3,3,9.3,51.74666666666667,88.78,24,13.3,0.0,27.4,MILD,163.1,10.1,0
Adilabad,19,2025,12,0.0,0,0.0,40.0516129032258,84.37096774193549,55,0.0,0.0,34.7,MILD,13.3,27.4,0
Adilabad,19,2026,1,0.0,0,0.0,41.53548387096774,77.5516129032258,86,0.0,0.0,36.7,MILD,0.0,34.7,0
Adilabad,20,2025,1,0.0,0,0.0,47.4,82.4,1,0.0,0.0,6.3,NORMAL,0.0,0.0,2
Adilabad,20,2025,2,0.0,0,0.0,35.6,71.5,2,0.0,0.0,10.6,NORMAL,0.0,6.3,2
Adilabad,20,2025,3,0.0,0,0.0,41.0,65.8,3,0.0,0.0,13.3,NORMAL,0.0,10.6,2
Adilabad,20,2025,4,0.0,0,0.0,31.6,84.7,4,0.0,0.0,8.6,NORMAL,0.0,13.3,2
Adilabad,20,2025,5,0.0,0,0.0,52.1,93.52000000000001,9,0.0,0.0,10.9,NORMAL,0.0,8.6,2
Adilabad,20,2025,6,172.20000000000002,11,95.3,66.90526315789474,90.60526315789474,10,172.20000000000002,0.0,12.8,NORMAL,0.0,10.9,2
Adilabad,20,2025,7,310.0,20,68.3,77.72068965517242,94.83103448275861,5,310.0,0.0,6.6,NORMAL,172.20000000000002,12.8,2
Adilabad,20,2025,8,566.4,19,156.0,77.0516129032258,95.73225806451612,2,566.4,0.0,3.3,NORMAL,310.0,6.6,2
Adilabad,20,2025,9,314.3,16,80.5,78.86333333333333,98.05333333333333,4,314.3,0.0,4.6,NORMAL,566.4,3.3,2
Adilabad,20,2025,10,97.7,6,49.5,66.41935483870968,94.35483870967742,18,97.7,0.0,19.7,NORMAL,314.3,4.6,2
Adilabad,20,2025,11,0.8,1,0.8,52.75666666666667,94.46333333333334,27,0.8,0.0,28.7,MILD,97.7,19.7,0
Adilabad,20,2025,12,0.0,0,0.0,36.516129032258064,86.54193548387097,58,0.0,0.0,34.0,MILD,0.8,28.7,0
Adilabad,20,2026,1,0.0,0,0.0,32.73225806451613,82.97096774193548,89,0.0,0.0,35.1,MILD,0.0,34.0,0
Adilabad,21,2025,1,0.0,0,0.0,52.2,78.4,1,0.0,0.0,7.5,NORMAL,0.0,0.0,2
Adilabad,21,2025,2,0.0,0,0.0,38.6,71.6,2,0.0,0.0,10.5,NORMAL,0.0,7.5,2
