District,Mandal,Year,Month,total_rain_mm,current_risk_level,predicted_risk_level,confidence_pct,prob_normal,prob_mild,prob_moderate,prob_severe
Sangareddy,Naykal,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Kumuram Bheem,Kagaznagar,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Bhadradri Kothagudem,Aswapuram,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Nalgonda,Kethepalle,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Kumuram Bheem,Kouthala,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Kumuram Bheem,Kerameri,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Bhadradri Kothagudem,Cherla,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Nalgonda,Miryalaguda,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Hyderabad,Tirumalgiri,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Mancherial,Jannaram,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Nalgonda,Nalgonda,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Hyderabad,Shaikpet,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Sangareddy,Jharasangam,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Jayashankar,Malharrao,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Kumuram Bheem,Asifabad,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Kumuram Bheem,Bejjur,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Rangareddy,Yacharam,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Kumuram Bheem,Penchikalpet,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Rangareddy,Moinabad,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Yadadri Bhuvanagiri,Alair,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Kumuram Bheem,Wankdi,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Medak,Narsingi,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Sangareddy,Sirgapoor,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Adilabad,Bela,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Hanumakonda,Nadikuda,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Nalgonda,33,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Rangareddy,Balapur,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
Kumuram Bheem,Chintalamanepally,2026,2,0.0,SEVERE,SEVERE,100.0,0.0,0.0,0.0,100.0
