District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Adilabad Rural,02-Apr-23,0,26.3,59.9
Adilabad,Adilabad Rural,02-Aug-23,0,34.4,80.8
Adilabad,Adilabad Rural,02-Dec-23,0,20.8,84.8
Adilabad,Adilabad Rural,02-Feb-23,0,46.4,81.1
Adilabad,Adilabad Rural,02-Jan-23,0,49.3,82.0
Adilabad,Adilabad Rural,02-Jul-23,0,23.8,69.7
Adilabad,Adilabad Rural,02-Jun-23,0,19.7,70.7
Adilabad,Adilabad Rural,02-Mar-23,0,24.2,55.8
Adilabad,Adilabad Rural,02-May-23,0,25.2,57.6
Adilabad,Adilabad Rural,02-Nov-23,0,19.9,61.2
Adilabad,Adilabad Rural,02-Oct-23,0,22.0,58.9
Adilabad,Adilabad Rural,02-Sep-23,0,32.7,84.3
Adilabad,Adilabad Rural,13-Feb-23,0,31.3,63.2
Adilabad,Adilabad Rural,14-Feb-23,0,19.5,66.2
Adilabad,Adilabad Rural,15-Feb-23,0,21.1,70.2
Adilabad,Adilabad Rural,16-Feb-23,0,22.4,71.3
Adilabad,Adilabad Rural,17-Feb-23,0,22.7,65.6
Adilabad,Adilabad Rural,18-Feb-23,0,26.8,58.8
Adilabad,Adilabad Rural,19-Feb-23,0,30.2,69.2
Adilabad,Adilabad Rural,20-Feb-23,0,28.8,81.1
Adilabad,Adilabad Rural,21-Feb-23,0,22.7,64.2
Adilabad,Adilabad Rural,22-Feb-23,0,22.9,60.3
Adilabad,Adilabad Rural,23-Feb-23,0,19.4,59.9
Adilabad,Adilabad Rural,24-Feb-23,0,17.3,65.1
Adilabad,Adilabad Rural,25-Feb-23,0,21.3,50.6
Adilabad,Adilabad Rural,26-Feb-23,0,19.2,55.8
Adilabad,Adilabad Rural,27-Feb-23,0,19.9,55.7
Adilabad,Adilabad Rural,28-Feb-23,0,24.3,56.7
Adilabad,Adilabad Urban,02-Apr-23,0,29.9,94.1
Adilabad,Adilabad Urban,02-Aug-23,0,35.0,99.9
Adilabad,Adilabad Urban,02-Dec-23,0,17.0,88.2
Adilabad,Adilabad Urban,02-Feb-23,0,41.2,99.9
Adilabad,Adilabad Urban,02-Jan-23,0,44.9,98.0
Adilabad,Adilabad Urban,02-Jul-23,0,21.2,88.8
Adilabad,Adilabad Urban,02-Jun-23,0,17.7,94.1
Adilabad,Adilabad Urban,02-Mar-23,0,21.5,74.6
Adilabad,Adilabad Urban,02-May-23,0,22.8,75.5
Adilabad,Adilabad Urban,02-Nov-23,0,23.2,88.1
Adilabad,Adilabad Urban,02-Oct-23,0,26.5,83.8
Adilabad,Adilabad Urban,02-Sep-23,0,30.7,94.1
Adilabad,Adilabad Urban,13-Feb-23,0,25.3,93.5
Adilabad,Adilabad Urban,14-Feb-23,0,16.2,86.4
Adilabad,Adilabad Urban,15-Feb-23,0,21.4,87.5
Adilabad,Adilabad Urban,16-Feb-23,0,17.9,80.9
Adilabad,Adilabad Urban,17-Feb-23,0,17.6,82.3
Adilabad,Adilabad Urban,18-Feb-23,0,23.2,88.1
Adilabad,Adilabad Urban,19-Feb-23,0,22.8,94.2
Adilabad,Adilabad Urban,20-Feb-23,0,31.0,94.3
Adilabad,Adilabad Urban,21-Feb-23,0,24.1,90.4
Adilabad,Adilabad Urban,22-Feb-23,0,19.1,81.7
Adilabad,Adilabad Urban,23-Feb-23,0,12.6,87.5
Adilabad,Adilabad Urban,24-Feb-23,0,15.6,76.1
Adilabad,Adilabad Urban,25-Feb-23,0,14.2,80.7
Adilabad,Adilabad Urban,26-Feb-23,0,12.6,76.1
Adilabad,Adilabad Urban,27-Feb-23,0,17.2,75.2
Adilabad,Adilabad Urban,28-Feb-23,0,23.5,75.3
Adilabad,Bazarhathnoor,02-Apr-23,0,30.1,84.2
Adilabad,Bazarhathnoor,02-Aug-23,0,42.9,91.7
Adilabad,Bazarhathnoor,02-Dec-23,0,23.9,84.7
Adilabad,Bazarhathnoor,02-Feb-23,0,53.0,88.9
Adilabad,Bazarhathnoor,02-Jan-23,0,49.1,86.2
Adilabad,Bazarhathnoor,02-Jul-23,0,28.7,89.9
Adilabad,Bazarhathnoor,02-Jun-23,0,23.0,86.0
Adilabad,Bazarhathnoor,02-Mar-23,0,34.7,88.9
Adilabad,Bazarhathnoor,02-May-23,0,29.5,88.9
Adilabad,Bazarhathnoor,02-Nov-23,0,23.3,84.4
Adilabad,Bazarhathnoor,02-Oct-23,0,30.0,86.0
Adilabad,Bazarhathnoor,02-Sep-23,0,39.5,89.2
Adilabad,Bazarhathnoor,13-Feb-23,0,37.8,78.8
Adilabad,Bazarhathnoor,14-Feb-23,0,23.0,82.2
Adilabad,Bazarhathnoor,15-Feb-23,0,23.0,83.1
Adilabad,Bazarhathnoor,16-Feb-23,0,25.3,79.3
Adilabad,Bazarhathnoor,17-Feb-23,0,24.6,75.4
Adilabad,Bazarhathnoor,18-Feb-23,0,32.1,79.4
Adilabad,Bazarhathnoor,19-Feb-23,0,36.1,85.8
Adilabad,Bazarhathnoor,20-Feb-23,0,30.0,90.7
Adilabad,Bazarhathnoor,21-Feb-23,0,29.6,87.1
Adilabad,Bazarhathnoor,22-Feb-23,0,26.2,82.8
Adilabad,Bazarhathnoor,23-Feb-23,0,21.5,77.9
Adilabad,Bazarhathnoor,24-Feb-23,0,20.8,78.4
Adilabad,Bazarhathnoor,25-Feb-23,0,21.9,77.9
Adilabad,Bazarhathnoor,26-Feb-23,0,19.9,77.1
Adilabad,Bazarhathnoor,27-Feb-23,0,21.9,79.0
Adilabad,Bazarhathnoor,28-Feb-23,0,32.1,84.4
Adilabad,Bela,02-Apr-23,0,11.8,84.8
Adilabad,Bela,02-Aug-23,0,18.4,87.0
Adilabad,Bela,02-Dec-23,0,8.3,70.1
Adilabad,Bela,02-Feb-23,0,34.3,91.0
Adilabad,Bela,02-Jan-23,0,37.6,87.4
Adilabad,Bela,02-Jul-23,0,8.8,74.6
Adilabad,Bela,02-Jun-23,0,5.7,77.1
Adilabad,Bela,02-Mar-23,0,8.7,83.9
Adilabad,Bela,02-May-23,0,9.3,83.1
Adilabad,Bela,02-Nov-23,0,7.7,77.9
Adilabad,Bela,02-Oct-23,0,8.8,79.5
Adilabad,Bela,02-Sep-23,0,18.8,87.2
Adilabad,Bela,13-Feb-23,0,14.5,76.5
Adilabad,Bela,14-Feb-23,0,6.8,75.9
Adilabad,Bela,15-Feb-23,0,6.3,75.6
Adilabad,Bela,16-Feb-23,0,6.4,71.2
Adilabad,Bela,17-Feb-23,0,7.7,72.0
