District,Mandal,Date,Rain (mm),Min Humidity (%),Max Humidity (%)
Adilabad,Adilabad Rural,03-Apr-23,0.0,32.3,66.0
Adilabad,Adilabad Rural,03-Aug-23,0.0,36.1,70.1
Adilabad,Adilabad Rural,03-Dec-23,0.0,24.7,65.6
Adilabad,Adilabad Rural,03-Feb-23,0.0,26.8,68.2
Adilabad,Adilabad Rural,03-Jan-23,0.0,28.4,63.9
Adilabad,Adilabad Rural,03-Jul-23,0.0,28.1,63.1
Adilabad,Adilabad Rural,03-Jun-23,0.0,28.8,63.2
Adilabad,Adilabad Rural,03-Mar-23,0.0,30.9,63.2
Adilabad,Adilabad Rural,03-May-23,0.0,24.3,61.2
Adilabad,Adilabad Rural,03-Nov-23,0.0,26.8,58.3
Adilabad,Adilabad Rural,03-Oct-23,0.0,23.6,56.2
Adilabad,Adilabad Rural,03-Sep-23,0.0,26.5,60.3
Adilabad,Adilabad Rural,13-Mar-23,0.0,24.7,57.2
Adilabad,Adilabad Rural,14-Mar-23,0.0,23.6,55.7
Adilabad,Adilabad Rural,15-Mar-23,0.0,23.6,54.7
Adilabad,Adilabad Rural,16-Mar-23,0.0,25.7,65.1
Adilabad,Adilabad Rural,17-Mar-23,0.0,38.2,74.5
Adilabad,Adilabad Rural,18-Mar-23,0.0,45.7,79.5
Adilabad,Adilabad Rural,19-Mar-23,0.0,59.2,94.8
Adilabad,Adilabad Rural,20-Mar-23,0.0,36.7,90.2
Adilabad,Adilabad Rural,21-Mar-23,0.0,33.8,85.1
Adilabad,Adilabad Rural,22-Mar-23,0.0,32.3,64.2
Adilabad,Adilabad Rural,23-Mar-23,0.0,32.3,77.5
Adilabad,Adilabad Rural,24-Mar-23,0.0,27.0,68.8
Adilabad,Adilabad Rural,25-Mar-23,0.0,30.5,75.9
Adilabad,Adilabad Rural,26-Mar-23,0.0,39.4,78.9
Adilabad,Adilabad Rural,27-Mar-23,0.8,40.1,75.8
Adilabad,Adilabad Rural,28-Mar-23,0.0,21.0,63.2
Adilabad,Adilabad Rural,29-Mar-23,0.0,20.8,77.5
Adilabad,Adilabad Rural,30-Mar-23,0.0,23.8,77.5
Adilabad,Adilabad Rural,31-Mar-23,0.0,23.1,81.6
Adilabad,Adilabad Urban,03-Apr-23,0.0,27.7,90.2
Adilabad,Adilabad Urban,03-Aug-23,0.0,30.2,96.8
Adilabad,Adilabad Urban,03-Dec-23,0.0,25.4,77.3
Adilabad,Adilabad Urban,03-Feb-23,0.0,21.5,81.9
Adilabad,Adilabad Urban,03-Jan-23,0.0,24.2,70.1
Adilabad,Adilabad Urban,03-Jul-23,0.0,25.8,75.3
Adilabad,Adilabad Urban,03-Jun-23,0.0,21.9,84.3
Adilabad,Adilabad Urban,03-Mar-23,0.0,24.1,88.8
Adilabad,Adilabad Urban,03-May-23,0.0,22.5,88.8
Adilabad,Adilabad Urban,03-Nov-23,0.0,27.7,77.9
Adilabad,Adilabad Urban,03-Oct-23,0.0,26.1,74.7
Adilabad,Adilabad Urban,03-Sep-23,0.0,27.6,83.5
Adilabad,Adilabad Urban,13-Mar-23,0.0,21.4,81.9
Adilabad,Adilabad Urban,14-Mar-23,0.0,24.1,76.6
Adilabad,Adilabad Urban,15-Mar-23,0.0,24.4,75.3
Adilabad,Adilabad Urban,16-Mar-23,2.0,26.2,89.5
Adilabad,Adilabad Urban,17-Mar-23,0.0,35.7,76.7
Adilabad,Adilabad Urban,18-Mar-23,0.0,41.8,81.0
Adilabad,Adilabad Urban,19-Mar-23,1.9,44.8,100.0
Adilabad,Adilabad Urban,20-Mar-23,2.6,32.2,86.0
Adilabad,Adilabad Urban,21-Mar-23,0.0,28.8,87.7
Adilabad,Adilabad Urban,22-Mar-23,0.0,27.1,75.7
Adilabad,Adilabad Urban,23-Mar-23,0.0,27.1,84.7
Adilabad,Adilabad Urban,24-Mar-23,0.0,25.3,74.8
Adilabad,Adilabad Urban,25-Mar-23,0.0,26.0,88.1
Adilabad,Adilabad Urban,26-Mar-23,0.0,37.5,88.9
Adilabad,Adilabad Urban,27-Mar-23,0.4,40.5,75.1
Adilabad,Adilabad Urban,28-Mar-23,0.0,18.2,60.0
Adilabad,Adilabad Urban,29-Mar-23,0.0,16.9,89.9
Adilabad,Adilabad Urban,30-Mar-23,0.0,22.2,83.1
Adilabad,Adilabad Urban,31-Mar-23,0.0,19.6,71.0
Adilabad,Bazarhathnoor,03-Apr-23,0.0,35.3,81.8
Adilabad,Bazarhathnoor,03-Aug-23,0.0,40.9,83.5
Adilabad,Bazarhathnoor,03-Dec-23,0.0,30.7,78.6
Adilabad,Bazarhathnoor,03-Feb-23,0.0,32.1,84.9
Adilabad,Bazarhathnoor,03-Jan-23,0.0,33.4,86.0
Adilabad,Bazarhathnoor,03-Jul-23,0.0,30.7,68.4
Adilabad,Bazarhathnoor,03-Jun-23,0.0,32.8,74.6
Adilabad,Bazarhathnoor,03-Mar-23,0.0,31.0,80.9
Adilabad,Bazarhathnoor,03-May-23,0.0,29.0,81.4
Adilabad,Bazarhathnoor,03-Nov-23,0.0,30.7,71.5
Adilabad,Bazarhathnoor,03-Oct-23,0.0,28.0,78.6
Adilabad,Bazarhathnoor,03-Sep-23,0.0,30.0,79.4
Adilabad,Bazarhathnoor,13-Mar-23,0.0,29.3,81.4
Adilabad,Bazarhathnoor,14-Mar-23,0.0,28.3,80.5
Adilabad,Bazarhathnoor,15-Mar-23,0.0,27.6,74.2
Adilabad,Bazarhathnoor,16-Mar-23,0.0,31.4,74.8
Adilabad,Bazarhathnoor,17-Mar-23,1.4,46.3,94.2
Adilabad,Bazarhathnoor,18-Mar-23,0.0,51.4,90.3
Adilabad,Bazarhathnoor,19-Mar-23,23.5,61.3,100.0
Adilabad,Bazarhathnoor,20-Mar-23,10.1,51.9,95.2
